"","Nh_real_1","Nh_basic_sum_1","Nh_basic_mean_1","Nh_real_2","Nh_basic_sum_2","Nh_basic_mean_2","Nh_real_3","Nh_basic_sum_3","Nh_basic_mean_3","Nh_real_4","Nh_basic_sum_4","Nh_basic_mean_4","Nh_real_5","Nh_basic_sum_5","Nh_basic_mean_5","Nh_real_6","Nh_basic_sum_6","Nh_basic_mean_6","Nh_real_7","Nh_basic_sum_7","Nh_basic_mean_7","Nh_real_8","Nh_basic_sum_8","Nh_basic_mean_8","Nh_real_9","Nh_basic_sum_9","Nh_basic_mean_9","Nh_real_10","Nh_basic_sum_10","Nh_basic_mean_10","Nh_real_11","Nh_basic_sum_11","Nh_basic_mean_11","Nh_real_12","Nh_basic_sum_12","Nh_basic_mean_12","Nh_real_13","Nh_basic_sum_13","Nh_basic_mean_13","Nh_real_14","Nh_basic_sum_14","Nh_basic_mean_14","Nh_real_15","Nh_basic_sum_15","Nh_basic_mean_15","data"
"1",9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,0
"2",9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,0.111111111111111
"3",9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,0.222222222222222
"4",9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,0.333333333333333
"5",9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,0.444444444444444
"6",9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,0.555555555555556
"7",9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,0.666666666666667
"8",9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,0.777777777777778
"9",9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,0.888888888888889
"10",9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,9272,NA,NA,1
