"data","Nh_real_1","Nh_basic_sum_1","Nh_basic_mean_1","Nh_PIMLE_1","Nh_MLE_1","Nh_MLE_mod_1","Nh_MoS_1","Nh_GNSUM_1","Nh_TEO_1","Nh_Zheng_1","Nh_Direct_1","Nh_real_2","Nh_basic_sum_2","Nh_basic_mean_2","Nh_PIMLE_2","Nh_MLE_2","Nh_MLE_mod_2","Nh_MoS_2","Nh_GNSUM_2","Nh_TEO_2","Nh_Zheng_2","Nh_Direct_2","Nh_real_3","Nh_basic_sum_3","Nh_basic_mean_3","Nh_PIMLE_3","Nh_MLE_3","Nh_MLE_mod_3","Nh_MoS_3","Nh_GNSUM_3","Nh_TEO_3","Nh_Zheng_3","Nh_Direct_3","Nh_real_4","Nh_basic_sum_4","Nh_basic_mean_4","Nh_PIMLE_4","Nh_MLE_4","Nh_MLE_mod_4","Nh_MoS_4","Nh_GNSUM_4","Nh_TEO_4","Nh_Zheng_4","Nh_Direct_4","Nh_real_5","Nh_basic_sum_5","Nh_basic_mean_5","Nh_PIMLE_5","Nh_MLE_5","Nh_MLE_mod_5","Nh_MoS_5","Nh_GNSUM_5","Nh_TEO_5","Nh_Zheng_5","Nh_Direct_5","Nh_real_6","Nh_basic_sum_6","Nh_basic_mean_6","Nh_PIMLE_6","Nh_MLE_6","Nh_MLE_mod_6","Nh_MoS_6","Nh_GNSUM_6","Nh_TEO_6","Nh_Zheng_6","Nh_Direct_6","Nh_real_7","Nh_basic_sum_7","Nh_basic_mean_7","Nh_PIMLE_7","Nh_MLE_7","Nh_MLE_mod_7","Nh_MoS_7","Nh_GNSUM_7","Nh_TEO_7","Nh_Zheng_7","Nh_Direct_7","Nh_real_8","Nh_basic_sum_8","Nh_basic_mean_8","Nh_PIMLE_8","Nh_MLE_8","Nh_MLE_mod_8","Nh_MoS_8","Nh_GNSUM_8","Nh_TEO_8","Nh_Zheng_8","Nh_Direct_8","Nh_real_9","Nh_basic_sum_9","Nh_basic_mean_9","Nh_PIMLE_9","Nh_MLE_9","Nh_MLE_mod_9","Nh_MoS_9","Nh_GNSUM_9","Nh_TEO_9","Nh_Zheng_9","Nh_Direct_9","Nh_real_10","Nh_basic_sum_10","Nh_basic_mean_10","Nh_PIMLE_10","Nh_MLE_10","Nh_MLE_mod_10","Nh_MoS_10","Nh_GNSUM_10","Nh_TEO_10","Nh_Zheng_10","Nh_Direct_10","Nh_real_11","Nh_basic_sum_11","Nh_basic_mean_11","Nh_PIMLE_11","Nh_MLE_11","Nh_MLE_mod_11","Nh_MoS_11","Nh_GNSUM_11","Nh_TEO_11","Nh_Zheng_11","Nh_Direct_11","Nh_real_12","Nh_basic_sum_12","Nh_basic_mean_12","Nh_PIMLE_12","Nh_MLE_12","Nh_MLE_mod_12","Nh_MoS_12","Nh_GNSUM_12","Nh_TEO_12","Nh_Zheng_12","Nh_Direct_12","Nh_real_13","Nh_basic_sum_13","Nh_basic_mean_13","Nh_PIMLE_13","Nh_MLE_13","Nh_MLE_mod_13","Nh_MoS_13","Nh_GNSUM_13","Nh_TEO_13","Nh_Zheng_13","Nh_Direct_13","Nh_real_14","Nh_basic_sum_14","Nh_basic_mean_14","Nh_PIMLE_14","Nh_MLE_14","Nh_MLE_mod_14","Nh_MoS_14","Nh_GNSUM_14","Nh_TEO_14","Nh_Zheng_14","Nh_Direct_14","Nh_real_15","Nh_basic_sum_15","Nh_basic_mean_15","Nh_PIMLE_15","Nh_MLE_15","Nh_MLE_mod_15","Nh_MoS_15","Nh_GNSUM_15","Nh_TEO_15","Nh_Zheng_15","Nh_Direct_15"
10,1000,1016.45692158761,1012.87723130162,1014.58282522511,1019.41747572816,1018.94639556377,1015.83662133289,990.566037735849,1033.40098233892,585.040590716259,10000,1000,1016.45692158761,1012.87723130162,1014.58282522511,1019.41747572816,1018.94639556377,1015.83662133289,990.566037735849,1016.70357649923,629.554356837697,10000,1000,1016.45692158761,1012.87723130162,1014.58282522511,1019.41747572816,1018.94639556377,1015.83662133289,990.566037735849,1028.75741310436,977.79844640919,10000,1000,1016.45692158761,1012.87723130162,1014.58282522511,1019.41747572816,1018.94639556377,1015.83662133289,990.566037735849,1031.69924234834,566.205133925684,10000,1000,1016.45692158761,1012.87723130162,1014.58282522511,1019.41747572816,1018.94639556377,1015.83662133289,990.566037735849,1048.05758994893,644.015696136316,10000,1000,1016.45692158761,1012.87723130162,1014.58282522511,1019.41747572816,1018.94639556377,1015.83662133289,990.566037735849,1018.72320610526,797.503969906258,10000,1000,1016.45692158761,1012.87723130162,1014.58282522511,1019.41747572816,1018.94639556377,1015.83662133289,990.566037735849,1032.53019254909,1281.17291717926,10000,1000,1016.45692158761,1012.87723130162,1014.58282522511,1019.41747572816,1018.94639556377,1015.83662133289,990.566037735849,1025.77765041885,460.595212628821,10000,1000,1016.45692158761,1012.87723130162,1014.58282522511,1019.41747572816,1018.94639556377,1015.83662133289,990.566037735849,1014.13854109921,715.547190897023,10000,1000,1016.45692158761,1012.87723130162,1014.58282522511,1019.41747572816,1018.94639556377,1015.83662133289,990.566037735849,1032.5753860906,767.157656998372,10000,1000,1016.45692158761,1012.87723130162,1014.58282522511,1019.41747572816,1018.94639556377,1015.83662133289,990.566037735849,1033.31944441108,805.605955375922,10000,1000,1016.45692158761,1012.87723130162,1014.58282522511,1019.41747572816,1018.94639556377,1015.83662133289,990.566037735849,1036.34034035617,671.670592969517,10000,1000,1016.45692158761,1012.87723130162,1014.58282522511,1019.41747572816,1018.94639556377,1015.83662133289,990.566037735849,1042.34581764816,705.367556441501,10000,1000,1016.45692158761,1012.87723130162,1014.58282522511,1019.41747572816,1018.94639556377,1015.83662133289,990.566037735849,1024.27740307196,664.553846255644,10000,1000,1016.45692158761,1012.87723130162,1014.58282522511,1019.41747572816,1018.94639556377,1015.83662133289,990.566037735849,1016.33691777068,853.765472113384,10000
1120,1000,992.077284353305,992.163982055007,995.258365150856,994.677116707726,994.714361940683,1003.30906896507,985.59792232322,996.387289693131,988.192809963983,8437.5,1000,992.077284353305,992.163982055007,995.258365150856,994.677116707726,994.714361940683,1003.30906896507,985.59792232322,995.61378277769,989.906533889048,8437.5,1000,992.077284353305,992.163982055007,995.258365150856,994.677116707726,994.714361940683,1003.30906896507,985.59792232322,994.716240009765,987.332677877647,8437.5,1000,992.077284353305,992.163982055007,995.258365150856,994.677116707726,994.714361940683,1003.30906896507,985.59792232322,996.105819585746,988.879848018366,8437.5,1000,992.077284353305,992.163982055007,995.258365150856,994.677116707726,994.714361940683,1003.30906896507,985.59792232322,994.853965870802,988.944884251467,8437.5,1000,992.077284353305,992.163982055007,995.258365150856,994.677116707726,994.714361940683,1003.30906896507,985.59792232322,994.503030888451,986.325584102237,8437.5,1000,992.077284353305,992.163982055007,995.258365150856,994.677116707726,994.714361940683,1003.30906896507,985.59792232322,995.236518962946,987.841126505007,8437.5,1000,992.077284353305,992.163982055007,995.258365150856,994.677116707726,994.714361940683,1003.30906896507,985.59792232322,994.418254847314,986.588708624535,8437.5,1000,992.077284353305,992.163982055007,995.258365150856,994.677116707726,994.714361940683,1003.30906896507,985.59792232322,994.755558548119,987.487854717626,8437.5,1000,992.077284353305,992.163982055007,995.258365150856,994.677116707726,994.714361940683,1003.30906896507,985.59792232322,994.611775203399,990.617931251855,8437.5,1000,992.077284353305,992.163982055007,995.258365150856,994.677116707726,994.714361940683,1003.30906896507,985.59792232322,994.925570482526,988.308922614472,8437.5,1000,992.077284353305,992.163982055007,995.258365150856,994.677116707726,994.714361940683,1003.30906896507,985.59792232322,993.567848703305,985.920642993748,8437.5,1000,992.077284353305,992.163982055007,995.258365150856,994.677116707726,994.714361940683,1003.30906896507,985.59792232322,995.665494152916,985.175465550924,8437.5,1000,992.077284353305,992.163982055007,995.258365150856,994.677116707726,994.714361940683,1003.30906896507,985.59792232322,995.077973106868,986.396925162232,8437.5,1000,992.077284353305,992.163982055007,995.258365150856,994.677116707726,994.714361940683,1003.30906896507,985.59792232322,994.853941253133,985.713859377385,8437.5
2230,1000,999.389740460207,999.5402997441,1001.44278187211,1000.56476870155,1001.88161263457,1010.72238724299,995.282542297798,1000.14149754776,997.333116945511,1004.48430493274,1000,999.389740460207,999.5402997441,1001.44278187211,1000.56476870155,1001.88161263457,1010.72238724299,995.282542297798,1000.04961998187,998.653487386197,1004.48430493274,1000,999.389740460207,999.5402997441,1001.44278187211,1000.56476870155,1001.88161263457,1010.72238724299,995.282542297798,1000.73818712645,999.994122005727,1004.48430493274,1000,999.389740460207,999.5402997441,1001.44278187211,1000.56476870155,1001.88161263457,1010.72238724299,995.282542297798,1000.87304912121,997.796747958092,1004.48430493274,1000,999.389740460207,999.5402997441,1001.44278187211,1000.56476870155,1001.88161263457,1010.72238724299,995.282542297798,1000.17034185303,996.286813471302,1004.48430493274,1000,999.389740460207,999.5402997441,1001.44278187211,1000.56476870155,1001.88161263457,1010.72238724299,995.282542297798,1000.0847858539,998.764009986325,1004.48430493274,1000,999.389740460207,999.5402997441,1001.44278187211,1000.56476870155,1001.88161263457,1010.72238724299,995.282542297798,1000.80589306171,995.306107993468,1004.48430493274,1000,999.389740460207,999.5402997441,1001.44278187211,1000.56476870155,1001.88161263457,1010.72238724299,995.282542297798,999.748105424944,998.771060230221,1004.48430493274,1000,999.389740460207,999.5402997441,1001.44278187211,1000.56476870155,1001.88161263457,1010.72238724299,995.282542297798,1000.10135266749,996.675986978536,1004.48430493274,1000,999.389740460207,999.5402997441,1001.44278187211,1000.56476870155,1001.88161263457,1010.72238724299,995.282542297798,1000.58890699922,998.43198277449,1004.48430493274,1000,999.389740460207,999.5402997441,1001.44278187211,1000.56476870155,1001.88161263457,1010.72238724299,995.282542297798,1001.12594951812,999.953774986831,1004.48430493274,1000,999.389740460207,999.5402997441,1001.44278187211,1000.56476870155,1001.88161263457,1010.72238724299,995.282542297798,1001.34929095968,996.494137754539,1004.48430493274,1000,999.389740460207,999.5402997441,1001.44278187211,1000.56476870155,1001.88161263457,1010.72238724299,995.282542297798,1001.11696622149,997.525976172002,1004.48430493274,1000,999.389740460207,999.5402997441,1001.44278187211,1000.56476870155,1001.88161263457,1010.72238724299,995.282542297798,999.717785124285,995.188698834031,1004.48430493274,1000,999.389740460207,999.5402997441,1001.44278187211,1000.56476870155,1001.88161263457,1010.72238724299,995.282542297798,1000.79140617362,998.238411754774,1004.48430493274
3340,1000,997.943895584613,997.980095098055,999.920816815478,999.118203532323,999.344639631719,1008.67835036248,996.272204636808,998.778397900971,1000.23643597539,994.011976047904,1000,997.943895584613,997.980095098055,999.920816815478,999.118203532323,999.344639631719,1008.67835036248,996.272204636808,998.856417848135,1000.99797822732,994.011976047904,1000,997.943895584613,997.980095098055,999.920816815478,999.118203532323,999.344639631719,1008.67835036248,996.272204636808,998.848905532167,1001.37795796401,994.011976047904,1000,997.943895584613,997.980095098055,999.920816815478,999.118203532323,999.344639631719,1008.67835036248,996.272204636808,998.838752589693,1000.58408402681,994.011976047904,1000,997.943895584613,997.980095098055,999.920816815478,999.118203532323,999.344639631719,1008.67835036248,996.272204636808,998.436643789236,1002.16432661307,994.011976047904,1000,997.943895584613,997.980095098055,999.920816815478,999.118203532323,999.344639631719,1008.67835036248,996.272204636808,998.689720386535,1001.42530035269,994.011976047904,1000,997.943895584613,997.980095098055,999.920816815478,999.118203532323,999.344639631719,1008.67835036248,996.272204636808,999.91540231571,1000.24614890925,994.011976047904,1000,997.943895584613,997.980095098055,999.920816815478,999.118203532323,999.344639631719,1008.67835036248,996.272204636808,999.667066551147,1004.78706418626,994.011976047904,1000,997.943895584613,997.980095098055,999.920816815478,999.118203532323,999.344639631719,1008.67835036248,996.272204636808,999.226383718107,1001.86724347375,994.011976047904,1000,997.943895584613,997.980095098055,999.920816815478,999.118203532323,999.344639631719,1008.67835036248,996.272204636808,999.309956202166,1003.08874066572,994.011976047904,1000,997.943895584613,997.980095098055,999.920816815478,999.118203532323,999.344639631719,1008.67835036248,996.272204636808,999.374628043916,998.94517815456,994.011976047904,1000,997.943895584613,997.980095098055,999.920816815478,999.118203532323,999.344639631719,1008.67835036248,996.272204636808,1004.89211366012,1000.5870595092,994.011976047904,1000,997.943895584613,997.980095098055,999.920816815478,999.118203532323,999.344639631719,1008.67835036248,996.272204636808,999.588039814036,999.712225104003,994.011976047904,1000,997.943895584613,997.980095098055,999.920816815478,999.118203532323,999.344639631719,1008.67835036248,996.272204636808,999.746570453835,1001.63256137855,994.011976047904,1000,997.943895584613,997.980095098055,999.920816815478,999.118203532323,999.344639631719,1008.67835036248,996.272204636808,999.530544469493,1000.91869058385,994.011976047904
4450,1000,1004.4120356018,1004.18207162287,1005.74583404173,1004.95450079311,1005.81271783498,1015.1877526705,1006.91523131082,1004.6701602495,1001.47650260447,1000,1000,1004.4120356018,1004.18207162287,1005.74583404173,1004.95450079311,1005.81271783498,1015.1877526705,1006.91523131082,1005.06464986535,1005.64124578181,1000,1000,1004.4120356018,1004.18207162287,1005.74583404173,1004.95450079311,1005.81271783498,1015.1877526705,1006.91523131082,1004.96575986827,1001.67816644157,1000,1000,1004.4120356018,1004.18207162287,1005.74583404173,1004.95450079311,1005.81271783498,1015.1877526705,1006.91523131082,1004.3404110271,1005.04634705379,1000,1000,1004.4120356018,1004.18207162287,1005.74583404173,1004.95450079311,1005.81271783498,1015.1877526705,1006.91523131082,1004.38715293432,1002.11066243002,1000,1000,1004.4120356018,1004.18207162287,1005.74583404173,1004.95450079311,1005.81271783498,1015.1877526705,1006.91523131082,1005.10693468143,1002.93754683944,1000,1000,1004.4120356018,1004.18207162287,1005.74583404173,1004.95450079311,1005.81271783498,1015.1877526705,1006.91523131082,1004.85972884166,1003.31633156617,1000,1000,1004.4120356018,1004.18207162287,1005.74583404173,1004.95450079311,1005.81271783498,1015.1877526705,1006.91523131082,1004.84232881701,1000.25058070632,1000,1000,1004.4120356018,1004.18207162287,1005.74583404173,1004.95450079311,1005.81271783498,1015.1877526705,1006.91523131082,1004.6618697806,1006.05262290024,1000,1000,1004.4120356018,1004.18207162287,1005.74583404173,1004.95450079311,1005.81271783498,1015.1877526705,1006.91523131082,1004.99539423315,1002.98019530279,1000,1000,1004.4120356018,1004.18207162287,1005.74583404173,1004.95450079311,1005.81271783498,1015.1877526705,1006.91523131082,1004.92314187469,1002.60401135886,1000,1000,1004.4120356018,1004.18207162287,1005.74583404173,1004.95450079311,1005.81271783498,1015.1877526705,1006.91523131082,1005.66919562174,1000.87194101407,1000,1000,1004.4120356018,1004.18207162287,1005.74583404173,1004.95450079311,1005.81271783498,1015.1877526705,1006.91523131082,1005.55764603777,1003.74875824661,1000,1000,1004.4120356018,1004.18207162287,1005.74583404173,1004.95450079311,1005.81271783498,1015.1877526705,1006.91523131082,1005.13365279768,1005.98582529945,1000,1000,1004.4120356018,1004.18207162287,1005.74583404173,1004.95450079311,1005.81271783498,1015.1877526705,1006.91523131082,1005.0066670007,1004.52488273367,1000
5560,1000,1005.28129744354,1005.19405981397,1005.96731895247,1005.19037365551,1005.90667160589,1015.1286884797,1004.83628194863,1004.83660939399,1005.53704095072,996.402877697842,1000,1005.28129744354,1005.19405981397,1005.96731895247,1005.19037365551,1005.90667160589,1015.1286884797,1004.83628194863,1006.27975660164,1006.72010473651,996.402877697842,1000,1005.28129744354,1005.19405981397,1005.96731895247,1005.19037365551,1005.90667160589,1015.1286884797,1004.83628194863,1004.93306761646,1006.45945790455,996.402877697842,1000,1005.28129744354,1005.19405981397,1005.96731895247,1005.19037365551,1005.90667160589,1015.1286884797,1004.83628194863,1005.19449134817,1005.41049576446,996.402877697842,1000,1005.28129744354,1005.19405981397,1005.96731895247,1005.19037365551,1005.90667160589,1015.1286884797,1004.83628194863,1005.17776202956,1006.16364261675,996.402877697842,1000,1005.28129744354,1005.19405981397,1005.96731895247,1005.19037365551,1005.90667160589,1015.1286884797,1004.83628194863,1004.90398192668,1005.64174803168,996.402877697842,1000,1005.28129744354,1005.19405981397,1005.96731895247,1005.19037365551,1005.90667160589,1015.1286884797,1004.83628194863,1005.30015310922,1007.15565073053,996.402877697842,1000,1005.28129744354,1005.19405981397,1005.96731895247,1005.19037365551,1005.90667160589,1015.1286884797,1004.83628194863,1005.21853100075,1010.41646093432,996.402877697842,1000,1005.28129744354,1005.19405981397,1005.96731895247,1005.19037365551,1005.90667160589,1015.1286884797,1004.83628194863,1005.56740867922,1010.20539870922,996.402877697842,1000,1005.28129744354,1005.19405981397,1005.96731895247,1005.19037365551,1005.90667160589,1015.1286884797,1004.83628194863,1005.07802592769,1007.08921884623,996.402877697842,1000,1005.28129744354,1005.19405981397,1005.96731895247,1005.19037365551,1005.90667160589,1015.1286884797,1004.83628194863,1005.26343195011,1006.56124007767,996.402877697842,1000,1005.28129744354,1005.19405981397,1005.96731895247,1005.19037365551,1005.90667160589,1015.1286884797,1004.83628194863,1005.18598118038,1006.59935202432,996.402877697842,1000,1005.28129744354,1005.19405981397,1005.96731895247,1005.19037365551,1005.90667160589,1015.1286884797,1004.83628194863,1005.0349692376,1008.68695069373,996.402877697842,1000,1005.28129744354,1005.19405981397,1005.96731895247,1005.19037365551,1005.90667160589,1015.1286884797,1004.83628194863,1005.0888272481,1008.90654466822,996.402877697842,1000,1005.28129744354,1005.19405981397,1005.96731895247,1005.19037365551,1005.90667160589,1015.1286884797,1004.83628194863,1004.33062762156,1006.34594817663,996.402877697842
6670,1000,1002.0858994992,1001.94674039484,1002.43202003543,1001.80624781977,1002.47146275017,1011.26536313039,1004.47843881187,1001.82202799197,1002.13397059675,1013.49325337331,1000,1002.0858994992,1001.94674039484,1002.43202003543,1001.80624781977,1002.47146275017,1011.26536313039,1004.47843881187,1001.66255666789,998.460989218433,1013.49325337331,1000,1002.0858994992,1001.94674039484,1002.43202003543,1001.80624781977,1002.47146275017,1011.26536313039,1004.47843881187,1001.77381662403,1001.19242002554,1013.49325337331,1000,1002.0858994992,1001.94674039484,1002.43202003543,1001.80624781977,1002.47146275017,1011.26536313039,1004.47843881187,1001.98699012081,1002.55357294747,1013.49325337331,1000,1002.0858994992,1001.94674039484,1002.43202003543,1001.80624781977,1002.47146275017,1011.26536313039,1004.47843881187,1001.927595245,1001.20827124908,1013.49325337331,1000,1002.0858994992,1001.94674039484,1002.43202003543,1001.80624781977,1002.47146275017,1011.26536313039,1004.47843881187,1001.50004589676,1000.88338740531,1013.49325337331,1000,1002.0858994992,1001.94674039484,1002.43202003543,1001.80624781977,1002.47146275017,1011.26536313039,1004.47843881187,1001.45058388897,999.987590375625,1013.49325337331,1000,1002.0858994992,1001.94674039484,1002.43202003543,1001.80624781977,1002.47146275017,1011.26536313039,1004.47843881187,1001.94762380863,1003.54644483705,1013.49325337331,1000,1002.0858994992,1001.94674039484,1002.43202003543,1001.80624781977,1002.47146275017,1011.26536313039,1004.47843881187,1002.01125653536,998.918758170075,1013.49325337331,1000,1002.0858994992,1001.94674039484,1002.43202003543,1001.80624781977,1002.47146275017,1011.26536313039,1004.47843881187,1001.83623480672,1001.36808613583,1013.49325337331,1000,1002.0858994992,1001.94674039484,1002.43202003543,1001.80624781977,1002.47146275017,1011.26536313039,1004.47843881187,1001.87833397052,999.527307694923,1013.49325337331,1000,1002.0858994992,1001.94674039484,1002.43202003543,1001.80624781977,1002.47146275017,1011.26536313039,1004.47843881187,1001.71669994882,1000.41005599646,1013.49325337331,1000,1002.0858994992,1001.94674039484,1002.43202003543,1001.80624781977,1002.47146275017,1011.26536313039,1004.47843881187,1002.25525564635,1000.74321614199,1013.49325337331,1000,1002.0858994992,1001.94674039484,1002.43202003543,1001.80624781977,1002.47146275017,1011.26536313039,1004.47843881187,1001.54982022185,1000.35105953248,1013.49325337331,1000,1002.0858994992,1001.94674039484,1002.43202003543,1001.80624781977,1002.47146275017,1011.26536313039,1004.47843881187,1001.78500496493,1000.34669412671,1013.49325337331
7780,1000,1002.53084507603,1002.38657703569,1002.99159874979,1002.41985381733,1002.86642248359,1011.79262456476,1001.5049491129,1002.14080521658,1003.39176104458,975.578406169666,1000,1002.53084507603,1002.38657703569,1002.99159874979,1002.41985381733,1002.86642248359,1011.79262456476,1001.5049491129,1002.46869214493,1002.58365298067,975.578406169666,1000,1002.53084507603,1002.38657703569,1002.99159874979,1002.41985381733,1002.86642248359,1011.79262456476,1001.5049491129,1002.81392295908,1002.57123197534,975.578406169666,1000,1002.53084507603,1002.38657703569,1002.99159874979,1002.41985381733,1002.86642248359,1011.79262456476,1001.5049491129,1002.59378954771,1003.16589191251,975.578406169666,1000,1002.53084507603,1002.38657703569,1002.99159874979,1002.41985381733,1002.86642248359,1011.79262456476,1001.5049491129,1002.00826043796,1003.96986034307,975.578406169666,1000,1002.53084507603,1002.38657703569,1002.99159874979,1002.41985381733,1002.86642248359,1011.79262456476,1001.5049491129,1002.68636958081,1002.87142126506,975.578406169666,1000,1002.53084507603,1002.38657703569,1002.99159874979,1002.41985381733,1002.86642248359,1011.79262456476,1001.5049491129,1002.89316795625,999.82346131963,975.578406169666,1000,1002.53084507603,1002.38657703569,1002.99159874979,1002.41985381733,1002.86642248359,1011.79262456476,1001.5049491129,1002.39158001431,1005.78459433299,975.578406169666,1000,1002.53084507603,1002.38657703569,1002.99159874979,1002.41985381733,1002.86642248359,1011.79262456476,1001.5049491129,1002.48875590433,1002.29444747689,975.578406169666,1000,1002.53084507603,1002.38657703569,1002.99159874979,1002.41985381733,1002.86642248359,1011.79262456476,1001.5049491129,1002.78121785929,1003.83532910888,975.578406169666,1000,1002.53084507603,1002.38657703569,1002.99159874979,1002.41985381733,1002.86642248359,1011.79262456476,1001.5049491129,1017.9840141922,1000.87593900732,975.578406169666,1000,1002.53084507603,1002.38657703569,1002.99159874979,1002.41985381733,1002.86642248359,1011.79262456476,1001.5049491129,1002.33172387679,1002.14080227845,975.578406169666,1000,1002.53084507603,1002.38657703569,1002.99159874979,1002.41985381733,1002.86642248359,1011.79262456476,1001.5049491129,1002.61042244014,1001.63467670154,975.578406169666,1000,1002.53084507603,1002.38657703569,1002.99159874979,1002.41985381733,1002.86642248359,1011.79262456476,1001.5049491129,1002.41216548768,1005.40178568508,975.578406169666,1000,1002.53084507603,1002.38657703569,1002.99159874979,1002.41985381733,1002.86642248359,1011.79262456476,1001.5049491129,1002.68914223494,1004.90905876618,975.578406169666
8890,1000,1002.91189738964,1002.75420724549,1003.59044478936,1002.97265160523,1003.57522030935,1012.67948886014,1002.18453961197,1002.80565998874,1006.16433176119,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.59044478936,1002.97265160523,1003.57522030935,1012.67948886014,1002.18453961197,1002.7495586552,1003.96870887676,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.59044478936,1002.97265160523,1003.57522030935,1012.67948886014,1002.18453961197,1003.18934160417,1005.32439677378,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.59044478936,1002.97265160523,1003.57522030935,1012.67948886014,1002.18453961197,1003.37840089224,1004.35739581478,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.59044478936,1002.97265160523,1003.57522030935,1012.67948886014,1002.18453961197,1002.95649125871,1004.26703408205,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.59044478936,1002.97265160523,1003.57522030935,1012.67948886014,1002.18453961197,1003.22870694439,1004.94463072536,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.59044478936,1002.97265160523,1003.57522030935,1012.67948886014,1002.18453961197,1003.28273832349,1007.05246959522,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.59044478936,1002.97265160523,1003.57522030935,1012.67948886014,1002.18453961197,1003.08661930086,1003.25272657244,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.59044478936,1002.97265160523,1003.57522030935,1012.67948886014,1002.18453961197,1003.39247872617,1006.3838770393,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.59044478936,1002.97265160523,1003.57522030935,1012.67948886014,1002.18453961197,1002.96172074699,1005.31050216753,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.59044478936,1002.97265160523,1003.57522030935,1012.67948886014,1002.18453961197,1003.15758700484,1005.04459492729,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.59044478936,1002.97265160523,1003.57522030935,1012.67948886014,1002.18453961197,1002.98968668624,1007.99232694854,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.59044478936,1002.97265160523,1003.57522030935,1012.67948886014,1002.18453961197,1002.83887559258,1007.84079976468,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.59044478936,1002.97265160523,1003.57522030935,1012.67948886014,1002.18453961197,1003.05449324697,1007.92883013234,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.59044478936,1002.97265160523,1003.57522030935,1012.67948886014,1002.18453961197,1002.94167027647,1006.30868911466,987.626546681665
10000,1000,1002.93,1002.77912359204,1003.67073888332,1003.12775947258,1003.69031931427,1012.60484982136,1002.78674475075,1003.1372514742,1005.43344286348,1000,1000,1002.93,1002.77912359204,1003.67073888332,1003.12775947258,1003.69031931427,1012.60484982136,1002.78674475075,1003.24246887555,1002.74641632078,1000,1000,1002.93,1002.77912359204,1003.67073888332,1003.12775947258,1003.69031931427,1012.60484982136,1002.78674475075,1003.05719641556,1004.74340589859,1000,1000,1002.93,1002.77912359204,1003.67073888332,1003.12775947258,1003.69031931427,1012.60484982136,1002.78674475075,1003.6222804827,1004.29103605844,1000,1000,1002.93,1002.77912359204,1003.67073888332,1003.12775947258,1003.69031931427,1012.60484982136,1002.78674475075,1002.81345218037,1003.66111290835,1000,1000,1002.93,1002.77912359204,1003.67073888332,1003.12775947258,1003.69031931427,1012.60484982136,1002.78674475075,1003.50347888218,1007.15330776178,1000,1000,1002.93,1002.77912359204,1003.67073888332,1003.12775947258,1003.69031931427,1012.60484982136,1002.78674475075,1003.15465819282,1002.86941928853,1000,1000,1002.93,1002.77912359204,1003.67073888332,1003.12775947258,1003.69031931427,1012.60484982136,1002.78674475075,1002.82980026817,1005.48599230155,1000,1000,1002.93,1002.77912359204,1003.67073888332,1003.12775947258,1003.69031931427,1012.60484982136,1002.78674475075,1002.5211524916,1005.84351469036,1000,1000,1002.93,1002.77912359204,1003.67073888332,1003.12775947258,1003.69031931427,1012.60484982136,1002.78674475075,1003.24431714022,1005.2323820581,1000,1000,1002.93,1002.77912359204,1003.67073888332,1003.12775947258,1003.69031931427,1012.60484982136,1002.78674475075,1003.17502194776,1005.51043234869,1000,1000,1002.93,1002.77912359204,1003.67073888332,1003.12775947258,1003.69031931427,1012.60484982136,1002.78674475075,1003.72371057159,1005.45264789942,1000,1000,1002.93,1002.77912359204,1003.67073888332,1003.12775947258,1003.69031931427,1012.60484982136,1002.78674475075,1003.35529218344,1005.59422547472,1000,1000,1002.93,1002.77912359204,1003.67073888332,1003.12775947258,1003.69031931427,1012.60484982136,1002.78674475075,1003.16859075819,1002.96547518933,1000,1000,1002.93,1002.77912359204,1003.67073888332,1003.12775947258,1003.69031931427,1012.60484982136,1002.78674475075,1003.22952576034,1003.82967863005,1000
