"data","data2","Nh_real_1","Nh_basic_sum_1","Nh_basic_mean_1","Nh_PIMLE_1","Nh_MLE_1","Nh_MLE_mod_1","Nh_MoS_1","Nh_GNSUM_1","Nh_TEO_1","Nh_Zheng_1","Nh_Direct_1","Nh_real_2","Nh_basic_sum_2","Nh_basic_mean_2","Nh_PIMLE_2","Nh_MLE_2","Nh_MLE_mod_2","Nh_MoS_2","Nh_GNSUM_2","Nh_TEO_2","Nh_Zheng_2","Nh_Direct_2","Nh_real_3","Nh_basic_sum_3","Nh_basic_mean_3","Nh_PIMLE_3","Nh_MLE_3","Nh_MLE_mod_3","Nh_MoS_3","Nh_GNSUM_3","Nh_TEO_3","Nh_Zheng_3","Nh_Direct_3","Nh_real_4","Nh_basic_sum_4","Nh_basic_mean_4","Nh_PIMLE_4","Nh_MLE_4","Nh_MLE_mod_4","Nh_MoS_4","Nh_GNSUM_4","Nh_TEO_4","Nh_Zheng_4","Nh_Direct_4","Nh_real_5","Nh_basic_sum_5","Nh_basic_mean_5","Nh_PIMLE_5","Nh_MLE_5","Nh_MLE_mod_5","Nh_MoS_5","Nh_GNSUM_5","Nh_TEO_5","Nh_Zheng_5","Nh_Direct_5","Nh_real_6","Nh_basic_sum_6","Nh_basic_mean_6","Nh_PIMLE_6","Nh_MLE_6","Nh_MLE_mod_6","Nh_MoS_6","Nh_GNSUM_6","Nh_TEO_6","Nh_Zheng_6","Nh_Direct_6","Nh_real_7","Nh_basic_sum_7","Nh_basic_mean_7","Nh_PIMLE_7","Nh_MLE_7","Nh_MLE_mod_7","Nh_MoS_7","Nh_GNSUM_7","Nh_TEO_7","Nh_Zheng_7","Nh_Direct_7","Nh_real_8","Nh_basic_sum_8","Nh_basic_mean_8","Nh_PIMLE_8","Nh_MLE_8","Nh_MLE_mod_8","Nh_MoS_8","Nh_GNSUM_8","Nh_TEO_8","Nh_Zheng_8","Nh_Direct_8","Nh_real_9","Nh_basic_sum_9","Nh_basic_mean_9","Nh_PIMLE_9","Nh_MLE_9","Nh_MLE_mod_9","Nh_MoS_9","Nh_GNSUM_9","Nh_TEO_9","Nh_Zheng_9","Nh_Direct_9","Nh_real_10","Nh_basic_sum_10","Nh_basic_mean_10","Nh_PIMLE_10","Nh_MLE_10","Nh_MLE_mod_10","Nh_MoS_10","Nh_GNSUM_10","Nh_TEO_10","Nh_Zheng_10","Nh_Direct_10","Nh_real_11","Nh_basic_sum_11","Nh_basic_mean_11","Nh_PIMLE_11","Nh_MLE_11","Nh_MLE_mod_11","Nh_MoS_11","Nh_GNSUM_11","Nh_TEO_11","Nh_Zheng_11","Nh_Direct_11","Nh_real_12","Nh_basic_sum_12","Nh_basic_mean_12","Nh_PIMLE_12","Nh_MLE_12","Nh_MLE_mod_12","Nh_MoS_12","Nh_GNSUM_12","Nh_TEO_12","Nh_Zheng_12","Nh_Direct_12","Nh_real_13","Nh_basic_sum_13","Nh_basic_mean_13","Nh_PIMLE_13","Nh_MLE_13","Nh_MLE_mod_13","Nh_MoS_13","Nh_GNSUM_13","Nh_TEO_13","Nh_Zheng_13","Nh_Direct_13","Nh_real_14","Nh_basic_sum_14","Nh_basic_mean_14","Nh_PIMLE_14","Nh_MLE_14","Nh_MLE_mod_14","Nh_MoS_14","Nh_GNSUM_14","Nh_TEO_14","Nh_Zheng_14","Nh_Direct_14","Nh_real_15","Nh_basic_sum_15","Nh_basic_mean_15","Nh_PIMLE_15","Nh_MLE_15","Nh_MLE_mod_15","Nh_MoS_15","Nh_GNSUM_15","Nh_TEO_15","Nh_Zheng_15","Nh_Direct_15"
10,10,1000,793.804453049371,781.596352026276,718.93160096012,758.256274768824,746.553368594468,695.960203328046,790.633608815427,769.742811490269,1043.20699272465,2000,1000,793.804453049371,781.596352026276,718.93160096012,758.256274768824,746.553368594468,695.960203328046,790.633608815427,777.487639346472,580.428272525552,2000,1000,793.804453049371,781.596352026276,718.93160096012,758.256274768824,746.553368594468,695.960203328046,790.633608815427,768.571868049905,686.561964567682,2000,1000,793.804453049371,781.596352026276,718.93160096012,758.256274768824,746.553368594468,695.960203328046,790.633608815427,770.60934429977,906.039618737448,2000,1000,793.804453049371,781.596352026276,718.93160096012,758.256274768824,746.553368594468,695.960203328046,790.633608815427,757.319253869484,900.923841726516,2000,1000,793.804453049371,781.596352026276,718.93160096012,758.256274768824,746.553368594468,695.960203328046,790.633608815427,763.441698819178,565.55499519909,2000,1000,793.804453049371,781.596352026276,718.93160096012,758.256274768824,746.553368594468,695.960203328046,790.633608815427,770.735126100474,592.752835163301,2000,1000,793.804453049371,781.596352026276,718.93160096012,758.256274768824,746.553368594468,695.960203328046,790.633608815427,768.405714653666,677.642857445712,2000,1000,793.804453049371,781.596352026276,718.93160096012,758.256274768824,746.553368594468,695.960203328046,790.633608815427,776.973744280544,535.517209527491,2000,1000,793.804453049371,781.596352026276,718.93160096012,758.256274768824,746.553368594468,695.960203328046,790.633608815427,762.80331848267,486.453470273823,2000,1000,793.804453049371,781.596352026276,718.93160096012,758.256274768824,746.553368594468,695.960203328046,790.633608815427,769.571708621064,463.042673439464,2000,1000,793.804453049371,781.596352026276,718.93160096012,758.256274768824,746.553368594468,695.960203328046,790.633608815427,779.138580113016,940.912217851734,2000,1000,793.804453049371,781.596352026276,718.93160096012,758.256274768824,746.553368594468,695.960203328046,790.633608815427,763.146644015505,729.31472716144,2000,1000,793.804453049371,781.596352026276,718.93160096012,758.256274768824,746.553368594468,695.960203328046,790.633608815427,771.837643960276,439.799353830438,2000,1000,793.804453049371,781.596352026276,718.93160096012,758.256274768824,746.553368594468,695.960203328046,790.633608815427,766.478001787908,717.631024084248,2000
1120,120,1000,1004.82136014045,1007.75792100634,1028.52820024458,1009.11624814606,1009.61968966267,1030.17156466979,1000.02956480605,1009.85580073444,1003.94018739378,982.142857142857,1000,1004.82136014045,1007.75792100634,1028.52820024458,1009.11624814606,1009.61968966267,1030.17156466979,1000.02956480605,1010.37849976966,1008.6172575104,982.142857142857,1000,1004.82136014045,1007.75792100634,1028.52820024458,1009.11624814606,1009.61968966267,1030.17156466979,1000.02956480605,1009.11052225075,1014.2352826653,982.142857142857,1000,1004.82136014045,1007.75792100634,1028.52820024458,1009.11624814606,1009.61968966267,1030.17156466979,1000.02956480605,1009.77644043997,1004.54074554276,982.142857142857,1000,1004.82136014045,1007.75792100634,1028.52820024458,1009.11624814606,1009.61968966267,1030.17156466979,1000.02956480605,1010.13296417975,1007.3285000146,982.142857142857,1000,1004.82136014045,1007.75792100634,1028.52820024458,1009.11624814606,1009.61968966267,1030.17156466979,1000.02956480605,1009.62052692089,1006.91617212075,982.142857142857,1000,1004.82136014045,1007.75792100634,1028.52820024458,1009.11624814606,1009.61968966267,1030.17156466979,1000.02956480605,1008.93576146587,1009.31090856413,982.142857142857,1000,1004.82136014045,1007.75792100634,1028.52820024458,1009.11624814606,1009.61968966267,1030.17156466979,1000.02956480605,1009.20032395132,1007.80852602116,982.142857142857,1000,1004.82136014045,1007.75792100634,1028.52820024458,1009.11624814606,1009.61968966267,1030.17156466979,1000.02956480605,1009.27185666382,1013.49921037457,982.142857142857,1000,1004.82136014045,1007.75792100634,1028.52820024458,1009.11624814606,1009.61968966267,1030.17156466979,1000.02956480605,1008.22246964878,1008.20246553036,982.142857142857,1000,1004.82136014045,1007.75792100634,1028.52820024458,1009.11624814606,1009.61968966267,1030.17156466979,1000.02956480605,1008.3630853914,1012.93546636825,982.142857142857,1000,1004.82136014045,1007.75792100634,1028.52820024458,1009.11624814606,1009.61968966267,1030.17156466979,1000.02956480605,1008.96669576859,1006.484686486,982.142857142857,1000,1004.82136014045,1007.75792100634,1028.52820024458,1009.11624814606,1009.61968966267,1030.17156466979,1000.02956480605,1008.58873085123,1010.74997977641,982.142857142857,1000,1004.82136014045,1007.75792100634,1028.52820024458,1009.11624814606,1009.61968966267,1030.17156466979,1000.02956480605,1008.84226439531,1008.67677688461,982.142857142857,1000,1004.82136014045,1007.75792100634,1028.52820024458,1009.11624814606,1009.61968966267,1030.17156466979,1000.02956480605,1009.77497643378,1007.84120728363,982.142857142857
2230,230,1000,995.710234411458,995.252077489044,1015.36616739519,995.883876593235,994.946162862944,1015.6403758412,992.662677962777,994.885904086539,993.161695092678,1000,1000,995.710234411458,995.252077489044,1015.36616739519,995.883876593235,994.946162862944,1015.6403758412,992.662677962777,996.037789388998,996.207716916679,1000,1000,995.710234411458,995.252077489044,1015.36616739519,995.883876593235,994.946162862944,1015.6403758412,992.662677962777,996.019857575015,994.824972790602,1000,1000,995.710234411458,995.252077489044,1015.36616739519,995.883876593235,994.946162862944,1015.6403758412,992.662677962777,996.050152212945,994.327807031057,1000,1000,995.710234411458,995.252077489044,1015.36616739519,995.883876593235,994.946162862944,1015.6403758412,992.662677962777,995.734804765319,993.142654350798,1000,1000,995.710234411458,995.252077489044,1015.36616739519,995.883876593235,994.946162862944,1015.6403758412,992.662677962777,995.833082138823,992.316354751407,1000,1000,995.710234411458,995.252077489044,1015.36616739519,995.883876593235,994.946162862944,1015.6403758412,992.662677962777,1001.34180935874,996.180100319187,1000,1000,995.710234411458,995.252077489044,1015.36616739519,995.883876593235,994.946162862944,1015.6403758412,992.662677962777,998.977249583783,991.420560612874,1000,1000,995.710234411458,995.252077489044,1015.36616739519,995.883876593235,994.946162862944,1015.6403758412,992.662677962777,995.729194134164,997.592728649862,1000,1000,995.710234411458,995.252077489044,1015.36616739519,995.883876593235,994.946162862944,1015.6403758412,992.662677962777,995.696930051554,994.08857308901,1000,1000,995.710234411458,995.252077489044,1015.36616739519,995.883876593235,994.946162862944,1015.6403758412,992.662677962777,998.992162881242,994.204690760703,1000,1000,995.710234411458,995.252077489044,1015.36616739519,995.883876593235,994.946162862944,1015.6403758412,992.662677962777,996.193816303619,993.230547024323,1000,1000,995.710234411458,995.252077489044,1015.36616739519,995.883876593235,994.946162862944,1015.6403758412,992.662677962777,996.096481118301,993.044618505901,1000,1000,995.710234411458,995.252077489044,1015.36616739519,995.883876593235,994.946162862944,1015.6403758412,992.662677962777,996.195637805767,997.838771763893,1000,1000,995.710234411458,995.252077489044,1015.36616739519,995.883876593235,994.946162862944,1015.6403758412,992.662677962777,995.194215261589,994.517779543216,1000
3340,340,1000,999.94912114256,999.797360710713,1018.42324871114,1000.29511393964,1000.55958128945,1021.20730297902,1013.18573169433,1000.89343689737,1007.16540731487,982.035928143713,1000,999.94912114256,999.797360710713,1018.42324871114,1000.29511393964,1000.55958128945,1021.20730297902,1013.18573169433,1001.40103227326,1009.21779831495,982.035928143713,1000,999.94912114256,999.797360710713,1018.42324871114,1000.29511393964,1000.55958128945,1021.20730297902,1013.18573169433,1000.30081436909,1006.77891267113,982.035928143713,1000,999.94912114256,999.797360710713,1018.42324871114,1000.29511393964,1000.55958128945,1021.20730297902,1013.18573169433,1001.19303325207,1003.32109669381,982.035928143713,1000,999.94912114256,999.797360710713,1018.42324871114,1000.29511393964,1000.55958128945,1021.20730297902,1013.18573169433,1001.18825395314,1005.04137875059,982.035928143713,1000,999.94912114256,999.797360710713,1018.42324871114,1000.29511393964,1000.55958128945,1021.20730297902,1013.18573169433,1000.23459101637,1007.32247033214,982.035928143713,1000,999.94912114256,999.797360710713,1018.42324871114,1000.29511393964,1000.55958128945,1021.20730297902,1013.18573169433,1000.50021956122,1004.2336983743,982.035928143713,1000,999.94912114256,999.797360710713,1018.42324871114,1000.29511393964,1000.55958128945,1021.20730297902,1013.18573169433,1000.26001430823,1004.65965684835,982.035928143713,1000,999.94912114256,999.797360710713,1018.42324871114,1000.29511393964,1000.55958128945,1021.20730297902,1013.18573169433,1000.27872518061,1006.41512500414,982.035928143713,1000,999.94912114256,999.797360710713,1018.42324871114,1000.29511393964,1000.55958128945,1021.20730297902,1013.18573169433,1000.01310153292,1004.13486171709,982.035928143713,1000,999.94912114256,999.797360710713,1018.42324871114,1000.29511393964,1000.55958128945,1021.20730297902,1013.18573169433,999.725246061822,1005.60949629491,982.035928143713,1000,999.94912114256,999.797360710713,1018.42324871114,1000.29511393964,1000.55958128945,1021.20730297902,1013.18573169433,999.897196406123,1005.2346665043,982.035928143713,1000,999.94912114256,999.797360710713,1018.42324871114,1000.29511393964,1000.55958128945,1021.20730297902,1013.18573169433,1001.02821213828,1007.6911139901,982.035928143713,1000,999.94912114256,999.797360710713,1018.42324871114,1000.29511393964,1000.55958128945,1021.20730297902,1013.18573169433,1000.8604361407,1006.63211727371,982.035928143713,1000,999.94912114256,999.797360710713,1018.42324871114,1000.29511393964,1000.55958128945,1021.20730297902,1013.18573169433,1000.59603559874,1005.46772084097,982.035928143713
4450,450,1000,1004.18739020456,1003.52747074486,1017.34261918458,1002.95205554095,1002.71936278594,1019.46051109579,1013.49351074201,1002.51002213306,1002.29231417587,1004.49438202247,1000,1004.18739020456,1003.52747074486,1017.34261918458,1002.95205554095,1002.71936278594,1019.46051109579,1013.49351074201,1002.92506363213,1000.52532638175,1004.49438202247,1000,1004.18739020456,1003.52747074486,1017.34261918458,1002.95205554095,1002.71936278594,1019.46051109579,1013.49351074201,1002.17039956518,1001.36899916244,1004.49438202247,1000,1004.18739020456,1003.52747074486,1017.34261918458,1002.95205554095,1002.71936278594,1019.46051109579,1013.49351074201,1002.89464716182,1000.54026436562,1004.49438202247,1000,1004.18739020456,1003.52747074486,1017.34261918458,1002.95205554095,1002.71936278594,1019.46051109579,1013.49351074201,1002.86621663335,1004.96203953779,1004.49438202247,1000,1004.18739020456,1003.52747074486,1017.34261918458,1002.95205554095,1002.71936278594,1019.46051109579,1013.49351074201,1003.29481063374,1001.76652472709,1004.49438202247,1000,1004.18739020456,1003.52747074486,1017.34261918458,1002.95205554095,1002.71936278594,1019.46051109579,1013.49351074201,1002.95411550068,1003.00155378587,1004.49438202247,1000,1004.18739020456,1003.52747074486,1017.34261918458,1002.95205554095,1002.71936278594,1019.46051109579,1013.49351074201,1003.26123207381,1001.63742579518,1004.49438202247,1000,1004.18739020456,1003.52747074486,1017.34261918458,1002.95205554095,1002.71936278594,1019.46051109579,1013.49351074201,1003.48311832217,1001.66848051436,1004.49438202247,1000,1004.18739020456,1003.52747074486,1017.34261918458,1002.95205554095,1002.71936278594,1019.46051109579,1013.49351074201,1003.50854060962,1005.08287578421,1004.49438202247,1000,1004.18739020456,1003.52747074486,1017.34261918458,1002.95205554095,1002.71936278594,1019.46051109579,1013.49351074201,1002.61199048035,1000.66886159927,1004.49438202247,1000,1004.18739020456,1003.52747074486,1017.34261918458,1002.95205554095,1002.71936278594,1019.46051109579,1013.49351074201,1002.92224670262,1000.28995097739,1004.49438202247,1000,1004.18739020456,1003.52747074486,1017.34261918458,1002.95205554095,1002.71936278594,1019.46051109579,1013.49351074201,1003.42668827296,1004.07933976011,1004.49438202247,1000,1004.18739020456,1003.52747074486,1017.34261918458,1002.95205554095,1002.71936278594,1019.46051109579,1013.49351074201,1002.59282542833,1001.00248400298,1004.49438202247,1000,1004.18739020456,1003.52747074486,1017.34261918458,1002.95205554095,1002.71936278594,1019.46051109579,1013.49351074201,1003.36852833822,1002.33713268309,1004.49438202247
5560,560,1000,987.005418006778,986.789572233966,1003.19477606944,986.085081255937,986.070566939872,1005.66030708035,990.940437537006,986.09445383957,994.805194598543,987.410071942446,1000,987.005418006778,986.789572233966,1003.19477606944,986.085081255937,986.070566939872,1005.66030708035,990.940437537006,986.171342617075,990.744359882449,987.410071942446,1000,987.005418006778,986.789572233966,1003.19477606944,986.085081255937,986.070566939872,1005.66030708035,990.940437537006,986.261602219012,994.549976074312,987.410071942446,1000,987.005418006778,986.789572233966,1003.19477606944,986.085081255937,986.070566939872,1005.66030708035,990.940437537006,986.175527754472,991.047288554896,987.410071942446,1000,987.005418006778,986.789572233966,1003.19477606944,986.085081255937,986.070566939872,1005.66030708035,990.940437537006,986.390762387408,993.08095077161,987.410071942446,1000,987.005418006778,986.789572233966,1003.19477606944,986.085081255937,986.070566939872,1005.66030708035,990.940437537006,985.444375587875,998.271826999868,987.410071942446,1000,987.005418006778,986.789572233966,1003.19477606944,986.085081255937,986.070566939872,1005.66030708035,990.940437537006,986.013048795093,996.287042873097,987.410071942446,1000,987.005418006778,986.789572233966,1003.19477606944,986.085081255937,986.070566939872,1005.66030708035,990.940437537006,986.136584984808,993.229470572998,987.410071942446,1000,987.005418006778,986.789572233966,1003.19477606944,986.085081255937,986.070566939872,1005.66030708035,990.940437537006,986.014641605577,991.276759510314,987.410071942446,1000,987.005418006778,986.789572233966,1003.19477606944,986.085081255937,986.070566939872,1005.66030708035,990.940437537006,985.615903182776,992.544711991442,987.410071942446,1000,987.005418006778,986.789572233966,1003.19477606944,986.085081255937,986.070566939872,1005.66030708035,990.940437537006,985.967437540319,993.611080281338,987.410071942446,1000,987.005418006778,986.789572233966,1003.19477606944,986.085081255937,986.070566939872,1005.66030708035,990.940437537006,986.010619377903,996.347898341053,987.410071942446,1000,987.005418006778,986.789572233966,1003.19477606944,986.085081255937,986.070566939872,1005.66030708035,990.940437537006,986.144814602699,993.08097178351,987.410071942446,1000,987.005418006778,986.789572233966,1003.19477606944,986.085081255937,986.070566939872,1005.66030708035,990.940437537006,986.349034294149,993.0295952394,987.410071942446,1000,987.005418006778,986.789572233966,1003.19477606944,986.085081255937,986.070566939872,1005.66030708035,990.940437537006,986.174924605295,992.804699953371,987.410071942446
6670,670,1000,1003.59937542894,1003.56466389826,1020.41555946688,1003.60710975247,1004.09690648079,1023.28893680076,1007.15733497296,1003.39679801527,1005.94144965018,1022.48875562219,1000,1003.59937542894,1003.56466389826,1020.41555946688,1003.60710975247,1004.09690648079,1023.28893680076,1007.15733497296,1003.40631867542,1004.59412469473,1022.48875562219,1000,1003.59937542894,1003.56466389826,1020.41555946688,1003.60710975247,1004.09690648079,1023.28893680076,1007.15733497296,1004.00071279266,1007.53179520576,1022.48875562219,1000,1003.59937542894,1003.56466389826,1020.41555946688,1003.60710975247,1004.09690648079,1023.28893680076,1007.15733497296,1003.72496528629,1007.13538869136,1022.48875562219,1000,1003.59937542894,1003.56466389826,1020.41555946688,1003.60710975247,1004.09690648079,1023.28893680076,1007.15733497296,1003.65137230082,1009.09114897963,1022.48875562219,1000,1003.59937542894,1003.56466389826,1020.41555946688,1003.60710975247,1004.09690648079,1023.28893680076,1007.15733497296,1003.8991276863,1007.7215799134,1022.48875562219,1000,1003.59937542894,1003.56466389826,1020.41555946688,1003.60710975247,1004.09690648079,1023.28893680076,1007.15733497296,1003.54180316523,1006.11019930296,1022.48875562219,1000,1003.59937542894,1003.56466389826,1020.41555946688,1003.60710975247,1004.09690648079,1023.28893680076,1007.15733497296,1003.7449390471,1005.6493267228,1022.48875562219,1000,1003.59937542894,1003.56466389826,1020.41555946688,1003.60710975247,1004.09690648079,1023.28893680076,1007.15733497296,1003.54554645172,1009.15215631017,1022.48875562219,1000,1003.59937542894,1003.56466389826,1020.41555946688,1003.60710975247,1004.09690648079,1023.28893680076,1007.15733497296,1003.47687160542,1005.13895018252,1022.48875562219,1000,1003.59937542894,1003.56466389826,1020.41555946688,1003.60710975247,1004.09690648079,1023.28893680076,1007.15733497296,1003.69016541311,1007.27098448874,1022.48875562219,1000,1003.59937542894,1003.56466389826,1020.41555946688,1003.60710975247,1004.09690648079,1023.28893680076,1007.15733497296,1003.47845381806,1005.49885647109,1022.48875562219,1000,1003.59937542894,1003.56466389826,1020.41555946688,1003.60710975247,1004.09690648079,1023.28893680076,1007.15733497296,1003.63600112383,1010.71798484635,1022.48875562219,1000,1003.59937542894,1003.56466389826,1020.41555946688,1003.60710975247,1004.09690648079,1023.28893680076,1007.15733497296,1003.54437296988,1006.07161335363,1022.48875562219,1000,1003.59937542894,1003.56466389826,1020.41555946688,1003.60710975247,1004.09690648079,1023.28893680076,1007.15733497296,1003.70089072759,1007.51846050777,1022.48875562219
7780,780,1000,998.019282751565,997.961043822135,1015.14642320409,998.22768954998,998.260323999962,1017.4465229672,1001.35842697595,998.270720161583,996.589505975458,1011.56812339332,1000,998.019282751565,997.961043822135,1015.14642320409,998.22768954998,998.260323999962,1017.4465229672,1001.35842697595,998.26809722148,997.355260126681,1011.56812339332,1000,998.019282751565,997.961043822135,1015.14642320409,998.22768954998,998.260323999962,1017.4465229672,1001.35842697595,998.352775077804,995.43287531604,1011.56812339332,1000,998.019282751565,997.961043822135,1015.14642320409,998.22768954998,998.260323999962,1017.4465229672,1001.35842697595,998.862733390561,996.27544246323,1011.56812339332,1000,998.019282751565,997.961043822135,1015.14642320409,998.22768954998,998.260323999962,1017.4465229672,1001.35842697595,998.431890657511,995.916464961093,1011.56812339332,1000,998.019282751565,997.961043822135,1015.14642320409,998.22768954998,998.260323999962,1017.4465229672,1001.35842697595,998.660987581967,997.545830527564,1011.56812339332,1000,998.019282751565,997.961043822135,1015.14642320409,998.22768954998,998.260323999962,1017.4465229672,1001.35842697595,998.310752604269,995.78653855212,1011.56812339332,1000,998.019282751565,997.961043822135,1015.14642320409,998.22768954998,998.260323999962,1017.4465229672,1001.35842697595,997.708428712095,993.416499120407,1011.56812339332,1000,998.019282751565,997.961043822135,1015.14642320409,998.22768954998,998.260323999962,1017.4465229672,1001.35842697595,998.380251661151,995.789199508579,1011.56812339332,1000,998.019282751565,997.961043822135,1015.14642320409,998.22768954998,998.260323999962,1017.4465229672,1001.35842697595,998.326007081119,997.151735869726,1011.56812339332,1000,998.019282751565,997.961043822135,1015.14642320409,998.22768954998,998.260323999962,1017.4465229672,1001.35842697595,998.458256082806,997.559407311667,1011.56812339332,1000,998.019282751565,997.961043822135,1015.14642320409,998.22768954998,998.260323999962,1017.4465229672,1001.35842697595,998.149097306526,996.436157401137,1011.56812339332,1000,998.019282751565,997.961043822135,1015.14642320409,998.22768954998,998.260323999962,1017.4465229672,1001.35842697595,998.197942720977,993.913617684639,1011.56812339332,1000,998.019282751565,997.961043822135,1015.14642320409,998.22768954998,998.260323999962,1017.4465229672,1001.35842697595,997.963676004061,996.149712667134,1011.56812339332,1000,998.019282751565,997.961043822135,1015.14642320409,998.22768954998,998.260323999962,1017.4465229672,1001.35842697595,997.938065876353,994.657239307942,1011.56812339332
8890,890,1000,992.035865038224,991.440294598416,1006.20055308963,991.49374195061,991.902044838102,1008.59961184827,996.092938103948,991.313434839482,992.330209010125,983.127109111361,1000,992.035865038224,991.440294598416,1006.20055308963,991.49374195061,991.902044838102,1008.59961184827,996.092938103948,990.990740068034,995.150751053252,983.127109111361,1000,992.035865038224,991.440294598416,1006.20055308963,991.49374195061,991.902044838102,1008.59961184827,996.092938103948,991.324168750848,993.660272026645,983.127109111361,1000,992.035865038224,991.440294598416,1006.20055308963,991.49374195061,991.902044838102,1008.59961184827,996.092938103948,991.742555922504,996.318484041479,983.127109111361,1000,992.035865038224,991.440294598416,1006.20055308963,991.49374195061,991.902044838102,1008.59961184827,996.092938103948,991.463391717359,994.055879739483,983.127109111361,1000,992.035865038224,991.440294598416,1006.20055308963,991.49374195061,991.902044838102,1008.59961184827,996.092938103948,991.711929113705,994.20318180379,983.127109111361,1000,992.035865038224,991.440294598416,1006.20055308963,991.49374195061,991.902044838102,1008.59961184827,996.092938103948,991.093618919446,995.350718995532,983.127109111361,1000,992.035865038224,991.440294598416,1006.20055308963,991.49374195061,991.902044838102,1008.59961184827,996.092938103948,991.852012952243,993.132103036315,983.127109111361,1000,992.035865038224,991.440294598416,1006.20055308963,991.49374195061,991.902044838102,1008.59961184827,996.092938103948,991.165740601176,996.921939294708,983.127109111361,1000,992.035865038224,991.440294598416,1006.20055308963,991.49374195061,991.902044838102,1008.59961184827,996.092938103948,991.783145560302,994.663464517526,983.127109111361,1000,992.035865038224,991.440294598416,1006.20055308963,991.49374195061,991.902044838102,1008.59961184827,996.092938103948,991.694038131257,997.469785318714,983.127109111361,1000,992.035865038224,991.440294598416,1006.20055308963,991.49374195061,991.902044838102,1008.59961184827,996.092938103948,991.488737550212,994.871535318486,983.127109111361,1000,992.035865038224,991.440294598416,1006.20055308963,991.49374195061,991.902044838102,1008.59961184827,996.092938103948,991.867620709501,992.887566385721,983.127109111361,1000,992.035865038224,991.440294598416,1006.20055308963,991.49374195061,991.902044838102,1008.59961184827,996.092938103948,991.264362522664,992.695862955442,983.127109111361,1000,992.035865038224,991.440294598416,1006.20055308963,991.49374195061,991.902044838102,1008.59961184827,996.092938103948,991.040044623057,995.860937733164,983.127109111361
10000,1000,1000,1001.79,1001.32119863336,1017.51213529281,1001.71129411261,1002.13301581513,1019.94444364893,1006.57843742374,1002.00743367316,1001.89997004279,1000,1000,1001.79,1001.32119863336,1017.51213529281,1001.71129411261,1002.13301581513,1019.94444364893,1006.57843742374,1001.61831551959,1004.02188660689,1000,1000,1001.79,1001.32119863336,1017.51213529281,1001.71129411261,1002.13301581513,1019.94444364893,1006.57843742374,1001.67242597302,1006.18368926766,1000,1000,1001.79,1001.32119863336,1017.51213529281,1001.71129411261,1002.13301581513,1019.94444364893,1006.57843742374,1001.65863973806,1003.27617182262,1000,1000,1001.79,1001.32119863336,1017.51213529281,1001.71129411261,1002.13301581513,1019.94444364893,1006.57843742374,1016.62070877216,1000.98403389533,1000,1000,1001.79,1001.32119863336,1017.51213529281,1001.71129411261,1002.13301581513,1019.94444364893,1006.57843742374,1001.40300631858,1002.80829535145,1000,1000,1001.79,1001.32119863336,1017.51213529281,1001.71129411261,1002.13301581513,1019.94444364893,1006.57843742374,1002.02292221973,1003.46068013895,1000,1000,1001.79,1001.32119863336,1017.51213529281,1001.71129411261,1002.13301581513,1019.94444364893,1006.57843742374,1001.69869995902,999.314216192402,1000,1000,1001.79,1001.32119863336,1017.51213529281,1001.71129411261,1002.13301581513,1019.94444364893,1006.57843742374,1001.63179960888,1005.37493384238,1000,1000,1001.79,1001.32119863336,1017.51213529281,1001.71129411261,1002.13301581513,1019.94444364893,1006.57843742374,1001.99651842335,1001.64924724334,1000,1000,1001.79,1001.32119863336,1017.51213529281,1001.71129411261,1002.13301581513,1019.94444364893,1006.57843742374,1001.54262504831,1003.85081443678,1000,1000,1001.79,1001.32119863336,1017.51213529281,1001.71129411261,1002.13301581513,1019.94444364893,1006.57843742374,1002.32305052975,1003.49729194604,1000,1000,1001.79,1001.32119863336,1017.51213529281,1001.71129411261,1002.13301581513,1019.94444364893,1006.57843742374,1001.96257082659,1002.26455725575,1000,1000,1001.79,1001.32119863336,1017.51213529281,1001.71129411261,1002.13301581513,1019.94444364893,1006.57843742374,1001.83614260957,1003.10403767076,1000,1000,1001.79,1001.32119863336,1017.51213529281,1001.71129411261,1002.13301581513,1019.94444364893,1006.57843742374,1001.52426128766,1005.44877485541,1000
