"data","Nh_real_1","Nh_basic_sum_1","Nh_basic_mean_1","Nh_PIMLE_1","Nh_MLE_1","Nh_MLE_mod_1","Nh_MoS_1","Nh_GNSUM_1","Nh_TEO_1","Nh_Zheng_1","Nh_Direct_1","Nh_real_2","Nh_basic_sum_2","Nh_basic_mean_2","Nh_PIMLE_2","Nh_MLE_2","Nh_MLE_mod_2","Nh_MoS_2","Nh_GNSUM_2","Nh_TEO_2","Nh_Zheng_2","Nh_Direct_2","Nh_real_3","Nh_basic_sum_3","Nh_basic_mean_3","Nh_PIMLE_3","Nh_MLE_3","Nh_MLE_mod_3","Nh_MoS_3","Nh_GNSUM_3","Nh_TEO_3","Nh_Zheng_3","Nh_Direct_3","Nh_real_4","Nh_basic_sum_4","Nh_basic_mean_4","Nh_PIMLE_4","Nh_MLE_4","Nh_MLE_mod_4","Nh_MoS_4","Nh_GNSUM_4","Nh_TEO_4","Nh_Zheng_4","Nh_Direct_4","Nh_real_5","Nh_basic_sum_5","Nh_basic_mean_5","Nh_PIMLE_5","Nh_MLE_5","Nh_MLE_mod_5","Nh_MoS_5","Nh_GNSUM_5","Nh_TEO_5","Nh_Zheng_5","Nh_Direct_5","Nh_real_6","Nh_basic_sum_6","Nh_basic_mean_6","Nh_PIMLE_6","Nh_MLE_6","Nh_MLE_mod_6","Nh_MoS_6","Nh_GNSUM_6","Nh_TEO_6","Nh_Zheng_6","Nh_Direct_6","Nh_real_7","Nh_basic_sum_7","Nh_basic_mean_7","Nh_PIMLE_7","Nh_MLE_7","Nh_MLE_mod_7","Nh_MoS_7","Nh_GNSUM_7","Nh_TEO_7","Nh_Zheng_7","Nh_Direct_7","Nh_real_8","Nh_basic_sum_8","Nh_basic_mean_8","Nh_PIMLE_8","Nh_MLE_8","Nh_MLE_mod_8","Nh_MoS_8","Nh_GNSUM_8","Nh_TEO_8","Nh_Zheng_8","Nh_Direct_8","Nh_real_9","Nh_basic_sum_9","Nh_basic_mean_9","Nh_PIMLE_9","Nh_MLE_9","Nh_MLE_mod_9","Nh_MoS_9","Nh_GNSUM_9","Nh_TEO_9","Nh_Zheng_9","Nh_Direct_9","Nh_real_10","Nh_basic_sum_10","Nh_basic_mean_10","Nh_PIMLE_10","Nh_MLE_10","Nh_MLE_mod_10","Nh_MoS_10","Nh_GNSUM_10","Nh_TEO_10","Nh_Zheng_10","Nh_Direct_10","Nh_real_11","Nh_basic_sum_11","Nh_basic_mean_11","Nh_PIMLE_11","Nh_MLE_11","Nh_MLE_mod_11","Nh_MoS_11","Nh_GNSUM_11","Nh_TEO_11","Nh_Zheng_11","Nh_Direct_11","Nh_real_12","Nh_basic_sum_12","Nh_basic_mean_12","Nh_PIMLE_12","Nh_MLE_12","Nh_MLE_mod_12","Nh_MoS_12","Nh_GNSUM_12","Nh_TEO_12","Nh_Zheng_12","Nh_Direct_12","Nh_real_13","Nh_basic_sum_13","Nh_basic_mean_13","Nh_PIMLE_13","Nh_MLE_13","Nh_MLE_mod_13","Nh_MoS_13","Nh_GNSUM_13","Nh_TEO_13","Nh_Zheng_13","Nh_Direct_13","Nh_real_14","Nh_basic_sum_14","Nh_basic_mean_14","Nh_PIMLE_14","Nh_MLE_14","Nh_MLE_mod_14","Nh_MoS_14","Nh_GNSUM_14","Nh_TEO_14","Nh_Zheng_14","Nh_Direct_14","Nh_real_15","Nh_basic_sum_15","Nh_basic_mean_15","Nh_PIMLE_15","Nh_MLE_15","Nh_MLE_mod_15","Nh_MoS_15","Nh_GNSUM_15","Nh_TEO_15","Nh_Zheng_15","Nh_Direct_15"
10,1000,1016.45692158761,1012.87723130162,963.915524951962,970.937912813738,955.952484175843,953.717670983179,1008.2304526749,984.476135685047,1325.71407620485,10000,1000,1016.45692158761,1012.87723130162,963.915524951962,970.937912813738,955.952484175843,953.717670983179,1008.2304526749,981.366776549116,829.133580436455,10000,1000,1016.45692158761,1012.87723130162,963.915524951962,970.937912813738,955.952484175843,953.717670983179,1008.2304526749,988.872602218314,846.453328025251,10000,1000,1016.45692158761,1012.87723130162,963.915524951962,970.937912813738,955.952484175843,953.717670983179,1008.2304526749,979.416353722925,910.769479532698,10000,1000,1016.45692158761,1012.87723130162,963.915524951962,970.937912813738,955.952484175843,953.717670983179,1008.2304526749,977.964173428554,794.401212877466,10000,1000,1016.45692158761,1012.87723130162,963.915524951962,970.937912813738,955.952484175843,953.717670983179,1008.2304526749,979.223115561891,792.069433390122,10000,1000,1016.45692158761,1012.87723130162,963.915524951962,970.937912813738,955.952484175843,953.717670983179,1008.2304526749,973.210246340617,445.502691744056,10000,1000,1016.45692158761,1012.87723130162,963.915524951962,970.937912813738,955.952484175843,953.717670983179,1008.2304526749,984.768073458233,688.898166396903,10000,1000,1016.45692158761,1012.87723130162,963.915524951962,970.937912813738,955.952484175843,953.717670983179,1008.2304526749,979.530485719922,660.586655623012,10000,1000,1016.45692158761,1012.87723130162,963.915524951962,970.937912813738,955.952484175843,953.717670983179,1008.2304526749,973.611760164227,486.074441115444,10000,1000,1016.45692158761,1012.87723130162,963.915524951962,970.937912813738,955.952484175843,953.717670983179,1008.2304526749,972.177102101394,503.16360628963,10000,1000,1016.45692158761,1012.87723130162,963.915524951962,970.937912813738,955.952484175843,953.717670983179,1008.2304526749,981.839381458575,1053.5375838872,10000,1000,1016.45692158761,1012.87723130162,963.915524951962,970.937912813738,955.952484175843,953.717670983179,1008.2304526749,981.499827159493,504.388805548844,10000,1000,1016.45692158761,1012.87723130162,963.915524951962,970.937912813738,955.952484175843,953.717670983179,1008.2304526749,974.3618977477,766.949022963433,10000,1000,1016.45692158761,1012.87723130162,963.915524951962,970.937912813738,955.952484175843,953.717670983179,1008.2304526749,969.711352229744,578.67354241551,10000
1120,1000,992.077284353305,992.163982055007,999.232575676814,996.317700608602,996.814757013291,1007.19186663644,990.27398885067,997.329097546786,997.513355794398,8437.5,1000,992.077284353305,992.163982055007,999.232575676814,996.317700608602,996.814757013291,1007.19186663644,990.27398885067,996.005466241984,996.731957962743,8437.5,1000,992.077284353305,992.163982055007,999.232575676814,996.317700608602,996.814757013291,1007.19186663644,990.27398885067,997.031042063159,992.397179750134,8437.5,1000,992.077284353305,992.163982055007,999.232575676814,996.317700608602,996.814757013291,1007.19186663644,990.27398885067,995.546059731034,997.720573728851,8437.5,1000,992.077284353305,992.163982055007,999.232575676814,996.317700608602,996.814757013291,1007.19186663644,990.27398885067,993.897918933498,998.201700315895,8437.5,1000,992.077284353305,992.163982055007,999.232575676814,996.317700608602,996.814757013291,1007.19186663644,990.27398885067,998.17788038807,994.635723010393,8437.5,1000,992.077284353305,992.163982055007,999.232575676814,996.317700608602,996.814757013291,1007.19186663644,990.27398885067,996.255736948193,991.922890109644,8437.5,1000,992.077284353305,992.163982055007,999.232575676814,996.317700608602,996.814757013291,1007.19186663644,990.27398885067,995.39722379978,994.064553046404,8437.5,1000,992.077284353305,992.163982055007,999.232575676814,996.317700608602,996.814757013291,1007.19186663644,990.27398885067,999.824334920501,995.783354869421,8437.5,1000,992.077284353305,992.163982055007,999.232575676814,996.317700608602,996.814757013291,1007.19186663644,990.27398885067,996.382257016076,997.176626796215,8437.5,1000,992.077284353305,992.163982055007,999.232575676814,996.317700608602,996.814757013291,1007.19186663644,990.27398885067,997.262638250305,996.490712142944,8437.5,1000,992.077284353305,992.163982055007,999.232575676814,996.317700608602,996.814757013291,1007.19186663644,990.27398885067,996.986326669696,996.339445047573,8437.5,1000,992.077284353305,992.163982055007,999.232575676814,996.317700608602,996.814757013291,1007.19186663644,990.27398885067,995.506049886659,996.08129927666,8437.5,1000,992.077284353305,992.163982055007,999.232575676814,996.317700608602,996.814757013291,1007.19186663644,990.27398885067,996.644899721474,998.781560014904,8437.5,1000,992.077284353305,992.163982055007,999.232575676814,996.317700608602,996.814757013291,1007.19186663644,990.27398885067,997.2893283235,993.043340959792,8437.5
2230,1000,999.389740460207,999.5402997441,1001.24322280188,999.564024312056,998.622845393578,1008.07440402108,1002.29288495688,1000.08517286738,996.874697952332,1004.48430493274,1000,999.389740460207,999.5402997441,1001.24322280188,999.564024312056,998.622845393578,1008.07440402108,1002.29288495688,1000.42109821821,995.048815744798,1004.48430493274,1000,999.389740460207,999.5402997441,1001.24322280188,999.564024312056,998.622845393578,1008.07440402108,1002.29288495688,999.527036214977,999.171256118668,1004.48430493274,1000,999.389740460207,999.5402997441,1001.24322280188,999.564024312056,998.622845393578,1008.07440402108,1002.29288495688,999.966248067297,997.598602594705,1004.48430493274,1000,999.389740460207,999.5402997441,1001.24322280188,999.564024312056,998.622845393578,1008.07440402108,1002.29288495688,999.77853376496,997.905057163402,1004.48430493274,1000,999.389740460207,999.5402997441,1001.24322280188,999.564024312056,998.622845393578,1008.07440402108,1002.29288495688,998.79118108243,999.602252063561,1004.48430493274,1000,999.389740460207,999.5402997441,1001.24322280188,999.564024312056,998.622845393578,1008.07440402108,1002.29288495688,999.626796375237,995.208229120294,1004.48430493274,1000,999.389740460207,999.5402997441,1001.24322280188,999.564024312056,998.622845393578,1008.07440402108,1002.29288495688,999.536377400402,997.563806362026,1004.48430493274,1000,999.389740460207,999.5402997441,1001.24322280188,999.564024312056,998.622845393578,1008.07440402108,1002.29288495688,999.276839774272,995.403284556801,1004.48430493274,1000,999.389740460207,999.5402997441,1001.24322280188,999.564024312056,998.622845393578,1008.07440402108,1002.29288495688,999.43575420116,997.449382628198,1004.48430493274,1000,999.389740460207,999.5402997441,1001.24322280188,999.564024312056,998.622845393578,1008.07440402108,1002.29288495688,1001.261252195,995.46825491658,1004.48430493274,1000,999.389740460207,999.5402997441,1001.24322280188,999.564024312056,998.622845393578,1008.07440402108,1002.29288495688,998.511396301473,996.139433330504,1004.48430493274,1000,999.389740460207,999.5402997441,1001.24322280188,999.564024312056,998.622845393578,1008.07440402108,1002.29288495688,1000.0834282409,993.206520259273,1004.48430493274,1000,999.389740460207,999.5402997441,1001.24322280188,999.564024312056,998.622845393578,1008.07440402108,1002.29288495688,999.957051635576,999.061010096788,1004.48430493274,1000,999.389740460207,999.5402997441,1001.24322280188,999.564024312056,998.622845393578,1008.07440402108,1002.29288495688,999.369061852374,996.130845971958,1004.48430493274
3340,1000,997.943895584613,997.980095098055,1000.31004211677,998.289194552795,998.55313155893,1008.5278318934,999.961946398856,998.680572598305,1002.07775092086,994.011976047904,1000,997.943895584613,997.980095098055,1000.31004211677,998.289194552795,998.55313155893,1008.5278318934,999.961946398856,998.827997375145,1004.72495336555,994.011976047904,1000,997.943895584613,997.980095098055,1000.31004211677,998.289194552795,998.55313155893,1008.5278318934,999.961946398856,998.224431520045,1005.0605073995,994.011976047904,1000,997.943895584613,997.980095098055,1000.31004211677,998.289194552795,998.55313155893,1008.5278318934,999.961946398856,998.736738810398,1003.69073760456,994.011976047904,1000,997.943895584613,997.980095098055,1000.31004211677,998.289194552795,998.55313155893,1008.5278318934,999.961946398856,997.769676207922,1003.51799406449,994.011976047904,1000,997.943895584613,997.980095098055,1000.31004211677,998.289194552795,998.55313155893,1008.5278318934,999.961946398856,998.74535993976,1005.33546799594,994.011976047904,1000,997.943895584613,997.980095098055,1000.31004211677,998.289194552795,998.55313155893,1008.5278318934,999.961946398856,998.567491121168,1002.24736030765,994.011976047904,1000,997.943895584613,997.980095098055,1000.31004211677,998.289194552795,998.55313155893,1008.5278318934,999.961946398856,998.333447764849,1001.90322672806,994.011976047904,1000,997.943895584613,997.980095098055,1000.31004211677,998.289194552795,998.55313155893,1008.5278318934,999.961946398856,998.711118122608,1001.96515310213,994.011976047904,1000,997.943895584613,997.980095098055,1000.31004211677,998.289194552795,998.55313155893,1008.5278318934,999.961946398856,998.532666464385,1002.84401478787,994.011976047904,1000,997.943895584613,997.980095098055,1000.31004211677,998.289194552795,998.55313155893,1008.5278318934,999.961946398856,998.318558126592,1002.6161537649,994.011976047904,1000,997.943895584613,997.980095098055,1000.31004211677,998.289194552795,998.55313155893,1008.5278318934,999.961946398856,998.323623663873,1007.44567017181,994.011976047904,1000,997.943895584613,997.980095098055,1000.31004211677,998.289194552795,998.55313155893,1008.5278318934,999.961946398856,999.225555089046,1005.81894679784,994.011976047904,1000,997.943895584613,997.980095098055,1000.31004211677,998.289194552795,998.55313155893,1008.5278318934,999.961946398856,998.348421840224,1004.59564333185,994.011976047904,1000,997.943895584613,997.980095098055,1000.31004211677,998.289194552795,998.55313155893,1008.5278318934,999.961946398856,998.15984819958,1005.51780311549,994.011976047904
4450,1000,1004.4120356018,1004.18207162287,1004.96658099794,1003.17642458315,1002.94367977276,1012.55323707754,1009.09831496499,1003.5541433386,1003.38572568928,1000,1000,1004.4120356018,1004.18207162287,1004.96658099794,1003.17642458315,1002.94367977276,1012.55323707754,1009.09831496499,1002.3107540732,1004.04103947663,1000,1000,1004.4120356018,1004.18207162287,1004.96658099794,1003.17642458315,1002.94367977276,1012.55323707754,1009.09831496499,1003.15436689052,1003.39353430688,1000,1000,1004.4120356018,1004.18207162287,1004.96658099794,1003.17642458315,1002.94367977276,1012.55323707754,1009.09831496499,1003.56808169113,1000.9046468384,1000,1000,1004.4120356018,1004.18207162287,1004.96658099794,1003.17642458315,1002.94367977276,1012.55323707754,1009.09831496499,1003.22827727173,1001.82814208169,1000,1000,1004.4120356018,1004.18207162287,1004.96658099794,1003.17642458315,1002.94367977276,1012.55323707754,1009.09831496499,1003.07334361169,1001.450986216,1000,1000,1004.4120356018,1004.18207162287,1004.96658099794,1003.17642458315,1002.94367977276,1012.55323707754,1009.09831496499,1003.41002266636,1001.36596645011,1000,1000,1004.4120356018,1004.18207162287,1004.96658099794,1003.17642458315,1002.94367977276,1012.55323707754,1009.09831496499,1003.4015020437,1000.6556294206,1000,1000,1004.4120356018,1004.18207162287,1004.96658099794,1003.17642458315,1002.94367977276,1012.55323707754,1009.09831496499,1003.61234238057,1001.11603709066,1000,1000,1004.4120356018,1004.18207162287,1004.96658099794,1003.17642458315,1002.94367977276,1012.55323707754,1009.09831496499,1003.07936816673,1000.49535235815,1000,1000,1004.4120356018,1004.18207162287,1004.96658099794,1003.17642458315,1002.94367977276,1012.55323707754,1009.09831496499,1002.84701226441,1002.1139276714,1000,1000,1004.4120356018,1004.18207162287,1004.96658099794,1003.17642458315,1002.94367977276,1012.55323707754,1009.09831496499,1003.99212170951,1006.19400293427,1000,1000,1004.4120356018,1004.18207162287,1004.96658099794,1003.17642458315,1002.94367977276,1012.55323707754,1009.09831496499,1003.14549201387,1001.97930116778,1000,1000,1004.4120356018,1004.18207162287,1004.96658099794,1003.17642458315,1002.94367977276,1012.55323707754,1009.09831496499,1003.14742750024,1000.39783496715,1000,1000,1004.4120356018,1004.18207162287,1004.96658099794,1003.17642458315,1002.94367977276,1012.55323707754,1009.09831496499,1003.96159866343,1002.5481270725,1000
5560,1000,1005.28129744354,1005.19405981397,1006.51024970011,1004.3439192832,1004.3291362129,1014.47786766269,1003.07121223415,1004.01993269808,1012.14989133454,996.402877697842,1000,1005.28129744354,1005.19405981397,1006.51024970011,1004.3439192832,1004.3291362129,1014.47786766269,1003.07121223415,1004.4972786133,1009.61112238478,996.402877697842,1000,1005.28129744354,1005.19405981397,1006.51024970011,1004.3439192832,1004.3291362129,1014.47786766269,1003.07121223415,1004.60387675049,1009.84380411393,996.402877697842,1000,1005.28129744354,1005.19405981397,1006.51024970011,1004.3439192832,1004.3291362129,1014.47786766269,1003.07121223415,1007.70463129349,1010.91910526148,996.402877697842,1000,1005.28129744354,1005.19405981397,1006.51024970011,1004.3439192832,1004.3291362129,1014.47786766269,1003.07121223415,1003.85344648394,1010.92226224749,996.402877697842,1000,1005.28129744354,1005.19405981397,1006.51024970011,1004.3439192832,1004.3291362129,1014.47786766269,1003.07121223415,1004.9546713051,1011.21594662571,996.402877697842,1000,1005.28129744354,1005.19405981397,1006.51024970011,1004.3439192832,1004.3291362129,1014.47786766269,1003.07121223415,1019.68977839388,1011.0472490995,996.402877697842,1000,1005.28129744354,1005.19405981397,1006.51024970011,1004.3439192832,1004.3291362129,1014.47786766269,1003.07121223415,1004.11472509712,1012.04698485758,996.402877697842,1000,1005.28129744354,1005.19405981397,1006.51024970011,1004.3439192832,1004.3291362129,1014.47786766269,1003.07121223415,1004.77633944307,1013.21986390751,996.402877697842,1000,1005.28129744354,1005.19405981397,1006.51024970011,1004.3439192832,1004.3291362129,1014.47786766269,1003.07121223415,1004.46668535456,1011.52630905778,996.402877697842,1000,1005.28129744354,1005.19405981397,1006.51024970011,1004.3439192832,1004.3291362129,1014.47786766269,1003.07121223415,1020.2529862068,1011.82331950172,996.402877697842,1000,1005.28129744354,1005.19405981397,1006.51024970011,1004.3439192832,1004.3291362129,1014.47786766269,1003.07121223415,1004.70178115499,1009.36949780276,996.402877697842,1000,1005.28129744354,1005.19405981397,1006.51024970011,1004.3439192832,1004.3291362129,1014.47786766269,1003.07121223415,1004.7501866345,1011.89894171852,996.402877697842,1000,1005.28129744354,1005.19405981397,1006.51024970011,1004.3439192832,1004.3291362129,1014.47786766269,1003.07121223415,1004.11807462645,1012.17536519234,996.402877697842,1000,1005.28129744354,1005.19405981397,1006.51024970011,1004.3439192832,1004.3291362129,1014.47786766269,1003.07121223415,1004.65397440958,1009.12663281342,996.402877697842
6670,1000,1002.0858994992,1001.94674039484,1003.96922405421,1002.093622159,1002.58268025039,1012.47775520256,1002.72198314627,1002.16671059075,1003.34997409202,1013.49325337331,1000,1002.0858994992,1001.94674039484,1003.96922405421,1002.093622159,1002.58268025039,1012.47775520256,1002.72198314627,1002.37842481924,1004.60068957009,1013.49325337331,1000,1002.0858994992,1001.94674039484,1003.96922405421,1002.093622159,1002.58268025039,1012.47775520256,1002.72198314627,1002.19359948857,1005.93635750687,1013.49325337331,1000,1002.0858994992,1001.94674039484,1003.96922405421,1002.093622159,1002.58268025039,1012.47775520256,1002.72198314627,1002.04158885835,1005.47228069856,1013.49325337331,1000,1002.0858994992,1001.94674039484,1003.96922405421,1002.093622159,1002.58268025039,1012.47775520256,1002.72198314627,1001.96480753399,1003.05755203992,1013.49325337331,1000,1002.0858994992,1001.94674039484,1003.96922405421,1002.093622159,1002.58268025039,1012.47775520256,1002.72198314627,1001.88552962028,1003.56110170204,1013.49325337331,1000,1002.0858994992,1001.94674039484,1003.96922405421,1002.093622159,1002.58268025039,1012.47775520256,1002.72198314627,1002.35173481812,1006.01239565539,1013.49325337331,1000,1002.0858994992,1001.94674039484,1003.96922405421,1002.093622159,1002.58268025039,1012.47775520256,1002.72198314627,1014.4644813613,1004.60227271466,1013.49325337331,1000,1002.0858994992,1001.94674039484,1003.96922405421,1002.093622159,1002.58268025039,1012.47775520256,1002.72198314627,1001.88045950889,1002.87321498481,1013.49325337331,1000,1002.0858994992,1001.94674039484,1003.96922405421,1002.093622159,1002.58268025039,1012.47775520256,1002.72198314627,1001.82523377698,1005.84851627682,1013.49325337331,1000,1002.0858994992,1001.94674039484,1003.96922405421,1002.093622159,1002.58268025039,1012.47775520256,1002.72198314627,1002.20185316821,1004.30292444075,1013.49325337331,1000,1002.0858994992,1001.94674039484,1003.96922405421,1002.093622159,1002.58268025039,1012.47775520256,1002.72198314627,1002.23978864729,1004.66461631429,1013.49325337331,1000,1002.0858994992,1001.94674039484,1003.96922405421,1002.093622159,1002.58268025039,1012.47775520256,1002.72198314627,1002.55809892165,1006.13342530541,1013.49325337331,1000,1002.0858994992,1001.94674039484,1003.96922405421,1002.093622159,1002.58268025039,1012.47775520256,1002.72198314627,1002.16323492127,1006.04484208015,1013.49325337331,1000,1002.0858994992,1001.94674039484,1003.96922405421,1002.093622159,1002.58268025039,1012.47775520256,1002.72198314627,1002.24173558185,1004.58505990471,1013.49325337331
7780,1000,1002.53084507603,1002.38657703569,1004.07312365861,1002.74019398076,1002.7729759553,1012.13766685377,1004.85102064682,1002.77862926985,1001.11574907811,975.578406169666,1000,1002.53084507603,1002.38657703569,1004.07312365861,1002.74019398076,1002.7729759553,1012.13766685377,1004.85102064682,1002.73757274925,1000.88137714803,975.578406169666,1000,1002.53084507603,1002.38657703569,1004.07312365861,1002.74019398076,1002.7729759553,1012.13766685377,1004.85102064682,1003.04490080025,999.358449553869,975.578406169666,1000,1002.53084507603,1002.38657703569,1004.07312365861,1002.74019398076,1002.7729759553,1012.13766685377,1004.85102064682,1002.19247323769,1002.4851082,975.578406169666,1000,1002.53084507603,1002.38657703569,1004.07312365861,1002.74019398076,1002.7729759553,1012.13766685377,1004.85102064682,1002.96746016956,1001.31053664176,975.578406169666,1000,1002.53084507603,1002.38657703569,1004.07312365861,1002.74019398076,1002.7729759553,1012.13766685377,1004.85102064682,1002.73949365536,999.656790172071,975.578406169666,1000,1002.53084507603,1002.38657703569,1004.07312365861,1002.74019398076,1002.7729759553,1012.13766685377,1004.85102064682,1003.06807846585,997.436461727093,975.578406169666,1000,1002.53084507603,1002.38657703569,1004.07312365861,1002.74019398076,1002.7729759553,1012.13766685377,1004.85102064682,1002.84899706036,1000.64419169466,975.578406169666,1000,1002.53084507603,1002.38657703569,1004.07312365861,1002.74019398076,1002.7729759553,1012.13766685377,1004.85102064682,1002.72765486702,1000.92518756053,975.578406169666,1000,1002.53084507603,1002.38657703569,1004.07312365861,1002.74019398076,1002.7729759553,1012.13766685377,1004.85102064682,1003.26059257788,1000.12692493541,975.578406169666,1000,1002.53084507603,1002.38657703569,1004.07312365861,1002.74019398076,1002.7729759553,1012.13766685377,1004.85102064682,1002.8998714031,1000.67618794702,975.578406169666,1000,1002.53084507603,1002.38657703569,1004.07312365861,1002.74019398076,1002.7729759553,1012.13766685377,1004.85102064682,1002.56875293587,1000.11143951361,975.578406169666,1000,1002.53084507603,1002.38657703569,1004.07312365861,1002.74019398076,1002.7729759553,1012.13766685377,1004.85102064682,1002.65687643018,1001.97274673362,975.578406169666,1000,1002.53084507603,1002.38657703569,1004.07312365861,1002.74019398076,1002.7729759553,1012.13766685377,1004.85102064682,1002.70279779311,1001.17114424545,975.578406169666,1000,1002.53084507603,1002.38657703569,1004.07312365861,1002.74019398076,1002.7729759553,1012.13766685377,1004.85102064682,1002.64460508411,1001.34817442886,975.578406169666
8890,1000,1002.91189738964,1002.75420724549,1003.86139796478,1002.36383081909,1002.77661007237,1012.23751773636,1001.78288176,1002.32499316727,1007.02426411149,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.86139796478,1002.36383081909,1002.77661007237,1012.23751773636,1001.78288176,1002.64342320071,1006.36182799233,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.86139796478,1002.36383081909,1002.77661007237,1012.23751773636,1001.78288176,1002.6746567839,1004.58373151308,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.86139796478,1002.36383081909,1002.77661007237,1012.23751773636,1001.78288176,1002.10077213787,1004.26775045919,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.86139796478,1002.36383081909,1002.77661007237,1012.23751773636,1001.78288176,1002.42696569779,1004.00566734977,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.86139796478,1002.36383081909,1002.77661007237,1012.23751773636,1001.78288176,1002.2678545353,1007.13426182104,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.86139796478,1002.36383081909,1002.77661007237,1012.23751773636,1001.78288176,1002.28659585919,1004.04424804003,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.86139796478,1002.36383081909,1002.77661007237,1012.23751773636,1001.78288176,1002.34331270108,1004.04610877654,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.86139796478,1002.36383081909,1002.77661007237,1012.23751773636,1001.78288176,1002.21141047015,1003.79221724885,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.86139796478,1002.36383081909,1002.77661007237,1012.23751773636,1001.78288176,1002.28912760018,1003.72799829756,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.86139796478,1002.36383081909,1002.77661007237,1012.23751773636,1001.78288176,1002.5026020881,1002.41738523794,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.86139796478,1002.36383081909,1002.77661007237,1012.23751773636,1001.78288176,1002.41797836597,1005.01879538608,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.86139796478,1002.36383081909,1002.77661007237,1012.23751773636,1001.78288176,1002.34499065617,1005.43101408238,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.86139796478,1002.36383081909,1002.77661007237,1012.23751773636,1001.78288176,1002.45298219271,1003.28497447279,987.626546681665,1000,1002.91189738964,1002.75420724549,1003.86139796478,1002.36383081909,1002.77661007237,1012.23751773636,1001.78288176,1002.35735051377,1005.19261210381,987.626546681665
10000,1000,1002.93,1002.77912359204,1004.50076390478,1002.85120454821,1003.27340615445,1012.88727779688,1004.45102583913,1002.84128239934,1003.90812908023,1000,1000,1002.93,1002.77912359204,1004.50076390478,1002.85120454821,1003.27340615445,1012.88727779688,1004.45102583913,1002.93347237499,1002.80929149111,1000,1000,1002.93,1002.77912359204,1004.50076390478,1002.85120454821,1003.27340615445,1012.88727779688,1004.45102583913,1002.69374583857,1003.71026045042,1000,1000,1002.93,1002.77912359204,1004.50076390478,1002.85120454821,1003.27340615445,1012.88727779688,1004.45102583913,1003.04758560905,1002.74530068938,1000,1000,1002.93,1002.77912359204,1004.50076390478,1002.85120454821,1003.27340615445,1012.88727779688,1004.45102583913,1002.57992796232,1004.55714265111,1000,1000,1002.93,1002.77912359204,1004.50076390478,1002.85120454821,1003.27340615445,1012.88727779688,1004.45102583913,1002.65149781504,1005.58877489194,1000,1000,1002.93,1002.77912359204,1004.50076390478,1002.85120454821,1003.27340615445,1012.88727779688,1004.45102583913,1002.837219496,1002.28585988894,1000,1000,1002.93,1002.77912359204,1004.50076390478,1002.85120454821,1003.27340615445,1012.88727779688,1004.45102583913,1002.63187773409,1001.57097174761,1000,1000,1002.93,1002.77912359204,1004.50076390478,1002.85120454821,1003.27340615445,1012.88727779688,1004.45102583913,1003.12096557649,1005.61850435014,1000,1000,1002.93,1002.77912359204,1004.50076390478,1002.85120454821,1003.27340615445,1012.88727779688,1004.45102583913,1003.02667399848,1004.69322239156,1000,1000,1002.93,1002.77912359204,1004.50076390478,1002.85120454821,1003.27340615445,1012.88727779688,1004.45102583913,1003.33823657465,1004.1391640467,1000,1000,1002.93,1002.77912359204,1004.50076390478,1002.85120454821,1003.27340615445,1012.88727779688,1004.45102583913,1002.73598383455,1005.23120028868,1000,1000,1002.93,1002.77912359204,1004.50076390478,1002.85120454821,1003.27340615445,1012.88727779688,1004.45102583913,1002.46838712809,1001.77067383281,1000,1000,1002.93,1002.77912359204,1004.50076390478,1002.85120454821,1003.27340615445,1012.88727779688,1004.45102583913,1003.07588457695,1001.94439720461,1000,1000,1002.93,1002.77912359204,1004.50076390478,1002.85120454821,1003.27340615445,1012.88727779688,1004.45102583913,1002.52989998886,1005.62867167831,1000
